2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.060 [Thread-2] INFO   - 2 904 ms
2022-11-02 09:59:27.068 [Thread-1] INFO   - 1 904 ms
2022-11-02 09:59:27.068 [Thread-1] INFO   - 1 912 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.069 [Thread-1] INFO   - 1 913 ms
2022-11-02 09:59:27.071 [Thread-2] INFO   - 2 913 ms
2022-11-02 09:59:27.071 [Thread-2] INFO   - 2 915 ms
2022-11-02 09:59:27.071 [Thread-1] INFO   - 1 915 ms
2022-11-02 09:59:27.071 [Thread-1] INFO   - 1 915 ms
2022-11-02 09:59:27.071 [Thread-2] INFO   - 2 915 ms
2022-11-02 09:59:27.071 [Thread-2] INFO   - 2 915 ms
2022-11-02 09:59:27.071 [Thread-2] INFO   - 2 915 ms
